character,word,freq
Michael,crazy,34
Michael,drive,34
Michael,gift,34
Michael,idiot,34
Michael,phone,34
Michael,tomorrow,34
Michael,wallace,34
Oscar,kevin,34
Pam,home,34
Pam,kevin,34
Pam,stuff,34
Pam,told,34
Pam,wedding,34
Andy,angela,33
Dwight,car,33
Dwight,family,33
Dwight,stupid,33
Dwight,woman,33
Jim,hold,33
Jim,party,33
Kevin,guys,33
Michael,creed,33
Michael,die,33
Michael,eat,33
Michael,ha,33
Michael,hell,33
Michael,ideas,33
Michael,news,33
Michael,perfect,33
Michael,question,33
Michael,sell,33
Michael,terrible,33
Michael,throw,33
Michael,times,33
Oscar,gay,33
Pam,phone,33
Andy,check,32
Dwight,idiot,32
Dwight,morning,32
Dwight,run,32
Dwight,world,32
Jim,bit,32
Jim,cool,32
Michael,gotta,32
Michael,minutes,32
Michael,mom,32
Michael,supposed,32
Michael,taking,32
Pam,coming,32
Pam,fun,32
Pam,happy,32
Andy,weird,31
Angela,pam,31
Angela,party,31
Dwight,attention,31
Dwight,baby,31
Dwight,hmm,31
Dwight,leave,31
Dwight,phone,31
Dwight,wanna,31
Jim,absolutely,31
Jim,bad,31
Jim,company,31
Jim,stuff,31
Michael,black,31
Michael,boom,31
Michael,desk,31
Michael,gay,31
Michael,read,31
Michael,story,31
Michael,umm,31
Andy,stop,30
Dwight,check,30
Dwight,friend,30
Dwight,night,30
Jim,bye,30
Jim,game,30
Jim,left,30
Jim,minutes,30
Jim,phone,30
Michael,body,30
Michael,buy,30
Michael,forget,30
Michael,learn,30
Michael,pizza,30
Michael,raise,30
Michael,reason,30
Michael,smart,30
Pam,bye,30
Pam,cool,30
Pam,guess,30
Pam,idea,30
Pam,phyllis,30
Pam,ryan,30
Andy,hear,29
Andy,nice,29
Dwight,called,29
Dwight,line,29
Dwight,oscar,29
Jim,happy,29
Jim,meeting,29
Jim,play,29
Jim,week,29
Michael,clients,29
Michael,fired,29
Michael,hour,29
Michael,house,29
Michael,kid,29
Michael,stand,29
Michael,weekend,29
Oscar,andy,29
Pam,weird,29
Angela,michael,28
Angela,stop,28
Dwight,david,28
Dwight,farm,28
Dwight,home,28
Dwight,meeting,28
Dwight,money,28
Dwight,TRUE,28
Dwight,wrong,28
Erin,pam,28
Jim,lunch,28
Michael,blah,28
Michael,carol,28
Michael,damn,28
Michael,girlfriend,28
Michael,half,28
Michael,kill,28
Michael,line,28
Michael,miss,28
Michael,sick,28
Michael,started,28
Michael,worst,28
Oscar,guys,28
Pam,night,28
Andy,paper,27
Angela,pum,27
Dwight,black,27
Dwight,break,27
Dwight,hear,27
Dwight,party,27
Dwight,remember,27
Dwight,salesman,27
Dwight,set,27
Dwight,sign,27
Dwight,times,27
Jim,called,27
Jim,fine,27
Jim,tonight,27
Jim,totally,27
Jim,wanna,27
Jim,wimowheh,27
Michael,anymore,27
Michael,brought,27
Michael,couple,27
Michael,date,27
Michael,eyes,27
Michael,inside,27
Michael,lady,27
Michael,ohh,27
Michael,santa,27
Michael,set,27
Michael,ten,27
Michael,words,27
Pam,guy,27
Pam,remember,27
Andy,hot,26
Angela,oscar,26
Dwight,eat,26
Dwight,guess,26
Dwight,jan,26
Dwight,pretty,26
Dwight,stay,26
Dwight,taking,26
Dwight,team,26
Dwight,whoa,26
Erin,gabe,26
Jim,baby,26
Jim,car,26
Jim,deal,26
Jim,happened,26
Jim,hard,26
Jim,thinking,26
Kevin,nice,26
Kevin,time,26
Michael,calling,26
Michael,change,26
Michael,city,26
Michael,excuse,26
Michael,front,26
Michael,lost,26
Michael,means,26
Michael,personal,26
Michael,picture,26
Michael,secret,26
Michael,shh,26
Michael,week,26
Pam,cece,26
Pam,oscar,26
Pam,person,26
Andy,awesome,25
Andy,business,25
Andy,called,25
Andy,coming,25
Andy,cornell,25
Andy,real,25
Andy,stuff,25
Andy,talking,25
Angela,day,25
Angela,senator,25
Dwight,cool,25
Dwight,fun,25
Dwight,makes,25
Dwight,scranton,25
